theta,V_unperturbed,V_perturbed_dvnet_poly
-0.027784163532884154,-11.165584,-11.378738
-0.015205213968961129,-11.167463,-11.373271
-0.0026262644050381034,-11.1678705,-11.36659
0.009952685158884922,-11.166806,-11.358652
0.022531634722807947,-11.164274,-11.349411
0.03511058428673186,-11.160278,-11.338815
0.047689533850654886,-11.154821,-11.326808
0.06026848341457791,-11.147906,-11.313334
0.07284743297850094,-11.139537,-11.298339
0.08542638254242396,-11.129716,-11.281772
0.09800533210634699,-11.118446,-11.263588
0.11058428167027001,-11.105735,-11.243751
0.12316323123419304,-11.09158,-11.222229
0.13574218079811606,-11.07599,-11.199004
0.1483211303620391,-11.058965,-11.1740675
0.16090007992596211,-11.04051,-11.147423
0.17347902948988514,-11.020629,-11.11908
0.18605797905380816,-10.999325,-11.089063
0.19863692861773208,-10.976602,-11.0574045
0.2112158781816551,-10.952462,-11.024145
0.22379482774557813,-10.926911,-10.989333
0.23637377730950115,-10.899952,-10.95302
0.24895272687342418,-10.87159,-10.915262
0.2615316764373472,-10.841826,-10.876115
0.27411062600127023,-10.810666,-10.835633
0.28668957556519326,-10.778115,-10.793873
0.2992685251291163,-10.744177,-10.75088
0.3118474746930393,-10.708857,-10.706701
0.32442642425696233,-10.672157,-10.661371
0.33700537382088536,-10.634085,-10.614921
0.34958432338480927,-10.594644,-10.567372
0.3621632729487323,-10.55384,-10.518742
0.3747422225126553,-10.511676,-10.469033
0.38732117207657835,-10.468163,-10.418254
0.39990012164050137,-10.423301,-10.366392
0.4124790712044244,-10.377099,-10.313441
0.4250580207683474,-10.329564,-10.259385
0.43763697033227045,-10.280698,-10.204201
0.4502159198961935,-10.23051,-10.147868
0.4627948694601165,-10.179007,-10.090363
0.4753738190240395,-10.126194,-10.031657
0.48795276858796255,-10.072079,-9.971726
0.5005317181518856,-10.016666,-9.910542
0.5131106677158095,-9.959964,-9.848077
0.5256896172797325,-9.90198,-9.784311
0.5382685668436555,-9.842719,-9.719217
0.5508475164075786,-9.782186,-9.652772
0.5634264659715016,-9.720391,-9.584964
0.5760054155354246,-9.657336,-9.515768
0.5885843650993476,-9.593032,-9.445177
0.6011633146632707,-9.527481,-9.3731785
0.6137422642271937,-9.4606905,-9.299764
0.6263212137911167,-9.392668,-9.224931
0.6389001633550397,-9.323414,-9.148674
0.6514791129189628,-9.252938,-9.070998
0.6640580624828858,-9.181243,-8.991905
0.6766370120468097,-9.108333,-8.911403
0.6892159616107327,-9.034214,-8.829503
0.7017949111746558,-8.958892,-8.746218
0.7143738607385788,-8.882367,-8.661559
0.7269528103025018,-8.804648,-8.575548
0.7395317598664248,-8.725736,-8.488202
0.7521107094303479,-8.645635,-8.399541
0.7646896589942709,-8.564347,-8.3095875
0.7772686085581939,-8.481879,-8.218366
0.7898475581221169,-8.398234,-8.125901
0.80242650768604,-8.3134165,-8.032219
0.815005457249963,-8.2274275,-7.937342
0.827584406813886,-8.140273,-7.8413005
0.8401633563778099,-8.051958,-7.7441187
0.852742305941733,-7.962484,-7.645821
0.865321255505656,-7.871859,-7.546437
0.877900205069579,-7.7800846,-7.445986
0.890479154633502,-7.687168,-7.344496
0.903058104197425,-7.5931153,-7.24199
0.9156370537613481,-7.497931,-7.1384892
0.9282160033252711,-7.4016247,-7.034018
0.9407949528891941,-7.3041997,-6.9285936
