theta,V_unperturbed,V_perturbed_lora_sin
-0.06552101222465323,-11.151076,-9.839889
-0.052942062660730205,-11.157392,-9.815389
-0.04036311309680718,-11.162227,-9.794516
-0.027784163532884154,-11.165584,-9.777133
-0.015205213968961129,-11.167463,-9.763081
-0.0026262644050381034,-11.1678705,-9.752173
0.009952685158884922,-11.166806,-9.744227
0.022531634722807947,-11.164274,-9.739048
0.03511058428673186,-11.160278,-9.736444
0.047689533850654886,-11.154821,-9.736228
0.06026848341457791,-11.147906,-9.738215
0.07284743297850094,-11.139537,-9.742233
0.08542638254242396,-11.129716,-9.748113
0.09800533210634699,-11.118446,-9.7556925
0.11058428167027001,-11.105735,-9.764818
0.12316323123419304,-11.09158,-9.775344
0.13574218079811606,-11.07599,-9.787121
0.1483211303620391,-11.058965,-9.800007
0.16090007992596211,-11.04051,-9.813859
0.17347902948988514,-11.020629,-9.828529
0.18605797905380816,-10.999325,-9.84387
0.19863692861773208,-10.976602,-9.859729
0.2112158781816551,-10.952462,-9.875941
0.22379482774557813,-10.926911,-9.892334
0.23637377730950115,-10.899952,-9.908727
0.24895272687342418,-10.87159,-9.924922
0.2615316764373472,-10.841826,-9.940706
0.27411062600127023,-10.810666,-9.955852
0.28668957556519326,-10.778115,-9.97011
0.2992685251291163,-10.744177,-9.983216
0.3118474746930393,-10.708857,-9.994878
0.32442642425696233,-10.672157,-10.004784
0.33700537382088536,-10.634085,-10.012595
0.34958432338480927,-10.594644,-10.017956
0.3621632729487323,-10.55384,-10.020477
0.3747422225126553,-10.511676,-10.019756
0.38732117207657835,-10.468163,-10.015363
0.39990012164050137,-10.423301,-10.00685
0.4124790712044244,-10.377099,-9.993765
0.4250580207683474,-10.329564,-9.975648
0.43763697033227045,-10.280698,-9.952051
0.4502159198961935,-10.23051,-9.922549
0.4627948694601165,-10.179007,-9.886754
0.4753738190240395,-10.126194,-9.844352
0.48795276858796255,-10.072079,-9.795095
0.5005317181518856,-10.016666,-9.738855
0.5131106677158095,-9.959964,-9.675625
0.5256896172797325,-9.90198,-9.605533
0.5382685668436555,-9.842719,-9.528852
0.5508475164075786,-9.782186,-9.445999
0.5634264659715016,-9.720391,-9.357504
0.5760054155354246,-9.657336,-9.2639885
0.5885843650993476,-9.593032,-9.166125
0.6011633146632707,-9.527481,-9.064586
0.6137422642271937,-9.4606905,-8.959999
0.6263212137911167,-9.392668,-8.852911
0.6389001633550397,-9.323414,-8.743743
0.6514791129189628,-9.252938,-8.632784
0.6640580624828858,-9.181243,-8.520181
0.6766370120468097,-9.108333,-8.405942
0.6892159616107327,-9.034214,-8.289969
0.7017949111746558,-8.958892,-8.17207
0.7143738607385788,-8.882367,-8.052002
0.7269528103025018,-8.804648,-7.9295073
0.7395317598664248,-8.725736,-7.8043375
0.7521107094303479,-8.645635,-7.6762943
0.7646896589942709,-8.564347,-7.545252
0.7772686085581939,-8.481879,-7.411177
0.7898475581221169,-8.398234,-7.2741337
0.80242650768604,-8.3134165,-7.1342955
0.815005457249963,-8.2274275,-6.991933
0.827584406813886,-8.140273,-6.8473997
0.8401633563778099,-8.051958,-6.701124
0.852742305941733,-7.962484,-6.5535803
0.865321255505656,-7.871859,-6.405264
0.877900205069579,-7.7800846,-6.256688
0.890479154633502,-7.687168,-6.108356
0.903058104197425,-7.5931153,-5.960761
0.9156370537613481,-7.497931,-5.814372
0.9282160033252711,-7.4016247,-5.669651
0.9407949528891941,-7.3041997,-5.527033
0.9533739024531172,-7.205666,-5.386944
0.9659528520170402,-7.1060305,-5.249794
0.9785318015809632,-7.005303,-5.1159754
0.9911107511448862,-6.903493,-4.9858513
1.0036897007088101,-6.800609,-4.859749
1.0162686502727332,-6.6966634,-4.7379417
1.0288475998366562,-6.5916667,-4.6206465
1.0414265494005792,-6.4856334,-4.508003
1.0540054989645022,-6.3785725,-4.400071
1.0665844485284253,-6.270499,-4.296834
1.0791633980923483,-6.161427,-4.198187
1.0917423476562713,-6.0513716,-4.1039557
1.1043212972201943,-5.9403486,-4.0139
1.1169002467841174,-5.828373,-3.9277189
1.1294791963480404,-5.715463,-3.8450727
1.1420581459119634,-5.6016374,-3.765586
1.1546370954758864,-5.4869103,-3.6888587
1.1672160450398104,-5.371302,-3.6144803
1.1797949946037334,-5.2548327,-3.542036
1.1923739441676564,-5.1375213,-3.4711099
1.2049528937315794,-5.0193877,-3.4012897
1.2175318432955025,-4.9004545,-3.3321753
1.2301107928594255,-4.78074,-3.2633734
1.2426897424233485,-4.6602674,-3.1945033
1.2552686919872715,-4.5390577,-3.125196
1.2678476415511946,-4.417135,-3.0550957
1.2804265911151176,-4.294518,-2.9838538
1.2930055406790406,-4.1712327,-2.9111366
1.3055844902429636,-4.0473,-2.8366199
1.3181634398068875,-3.9227438,-2.7599902
1.3307423893708106,-3.7975872,-2.6809435
