theta,V_unperturbed,V_perturbed_dvnet_sin
-0.37999475132273064,-10.510378,-11.296362
-0.3674158017588076,-10.553716,-11.285844
-0.3548368521948846,-10.595596,-11.269774
-0.34225790263096156,-10.636016,-11.248713
-0.3296789530670381,-10.6749735,-11.223249
-0.31710000350311507,-10.712463,-11.193934
-0.30452105393919204,-10.748483,-11.161208
-0.291942104375269,-10.7830305,-11.1253605
-0.279363154811346,-10.816104,-11.086524
-0.26678420524742297,-10.847699,-11.044706
-0.2542052556834995,-10.877814,-10.999865
-0.24162630611957647,-10.906446,-10.951988
-0.22904735655565345,-10.933595,-10.901187
-0.21646840699173042,-10.95926,-10.847769
-0.2038894574278074,-10.983436,-10.792262
-0.19131050786388437,-11.006124,-10.735439
-0.17873155829996135,-11.027322,-10.678263
-0.16615260873603788,-11.04703,-10.621818
-0.15357365917211485,-11.065249,-10.567221
-0.14099470960819183,-11.081977,-10.515522
-0.1284157600442688,-11.097215,-10.467626
-0.11583681048034578,-11.110963,-10.424228
-0.10325786091642275,-11.123221,-10.385784
-0.09067891135249928,-11.133992,-10.352511
-0.07809996178857626,-11.143276,-10.324401
-0.06552101222465323,-11.151076,-10.301262
-0.052942062660730205,-11.157392,-10.282757
-0.04036311309680718,-11.162227,-10.268458
-0.027784163532884154,-11.165584,-10.257883
-0.015205213968961129,-11.167463,-10.250526
-0.0026262644050381034,-11.1678705,-10.245899
0.009952685158884922,-11.166806,-10.243536
0.022531634722807947,-11.164274,-10.243025
0.03511058428673186,-11.160278,-10.244003
0.047689533850654886,-11.154821,-10.24617
0.06026848341457791,-11.147906,-10.249285
0.07284743297850094,-11.139537,-10.253169
0.08542638254242396,-11.129716,-10.257704
0.09800533210634699,-11.118446,-10.26283
0.11058428167027001,-11.105735,-10.268542
0.12316323123419304,-11.09158,-10.274882
0.13574218079811606,-11.07599,-10.281941
0.1483211303620391,-11.058965,-10.289844
0.16090007992596211,-11.04051,-10.298746
0.17347902948988514,-11.020629,-10.308817
0.18605797905380816,-10.999325,-10.320228
0.19863692861773208,-10.976602,-10.33313
0.2112158781816551,-10.952462,-10.347636
0.22379482774557813,-10.926911,-10.363793
0.23637377730950115,-10.899952,-10.381562
0.24895272687342418,-10.87159,-10.400793
0.2615316764373472,-10.841826,-10.421208
0.27411062600127023,-10.810666,-10.442397
0.28668957556519326,-10.778115,-10.463826
0.2992685251291163,-10.744177,-10.484841
0.3118474746930393,-10.708857,-10.504714
0.32442642425696233,-10.672157,-10.522662
0.33700537382088536,-10.634085,-10.53791
0.34958432338480927,-10.594644,-10.549721
0.3621632729487323,-10.55384,-10.557436
0.3747422225126553,-10.511676,-10.560505
0.38732117207657835,-10.468163,-10.558502
0.39990012164050137,-10.423301,-10.551125
0.4124790712044244,-10.377099,-10.538201
0.4250580207683474,-10.329564,-10.519664
0.43763697033227045,-10.280698,-10.495534
0.4502159198961935,-10.23051,-10.465912
0.4627948694601165,-10.179007,-10.430947
0.4753738190240395,-10.126194,-10.390821
0.48795276858796255,-10.072079,-10.345738
0.5005317181518856,-10.016666,-10.295903
0.5131106677158095,-9.959964,-10.241523
0.5256896172797325,-9.90198,-10.1827965
0.5382685668436555,-9.842719,-10.119904
0.5508475164075786,-9.782186,-10.05301
0.5634264659715016,-9.720391,-9.982268
0.5760054155354246,-9.657336,-9.907803
0.5885843650993476,-9.593032,-9.829725
0.6011633146632707,-9.527481,-9.74812
0.6137422642271937,-9.4606905,-9.663051
