theta,delta_V_learned,delta_V_true
1.436894607033496,-4.505121,-5.3788699398651
1.4494861607552991,-4.5017467,-5.370036412342998
1.4620777144771022,-4.498273,-5.360969652245278
1.4746692681989035,-4.494681,-5.351665589882733
1.4872608219207066,-4.490952,-5.342120120366021
1.4998523756425097,-4.487066,-5.332329103605677
1.5124439293643128,-4.483,-5.322288364312106
1.525035483086116,-4.47873,-5.311993691995587
1.537627036807919,-4.4742327,-5.301440840966269
1.5502185905297203,-4.4694777,-5.290625530334177
1.5628101442515234,-4.4644375,-5.279543444009201
1.5754016979733265,-4.4590783,-5.2681902307011095
1.5879932516951296,-4.4533668,-5.256561503919541
1.6005848054169327,-4.4472656,-5.244652841974007
1.613176359138734,-4.4407363,-5.232459787973893
1.6257679128605371,-4.4337363,-5.219977849828448
1.6383594665823402,-4.4262223,-5.207202500246802
1.6509510203041433,-4.418147,-5.194129176737955
1.6635425740259464,-4.4094634,-5.180753281610778
1.6761341277477495,-4.4001217,-5.167070181974016
1.6887256814695508,-4.390072,-5.1530752097362855
1.701317235191354,-4.3792634,-5.13876366160607
1.713908788913157,-4.367648,-5.124130799091733
1.72650034263496,-4.355179,-5.109171848501506
1.7390918963567632,-4.3418126,-5.093882000943494
1.7516834500785663,-4.327513,-5.078256412325674
1.7642750038003676,-4.3122497,-5.062290203355895
1.7768665575221707,-4.2960014,-5.045978459541875
1.7894581112439738,-4.2787585,-5.029316231191208
1.802049664965777,-4.260523,-5.012298533411361
1.81464121868758,-4.2413125,-4.994920346109669
1.8272327724093813,-4.2211585,-4.977176613993348
1.8398243261311844,-4.200109,-4.95906224656947
1.8524158798529875,-4.178227,-4.940572118144994
1.8650074335747906,-4.155588,-4.921701067826745
1.8775989872965937,-4.1322837,-4.902443899521421
1.8901905410183968,-4.108412,-4.882795381935592
1.902782094740198,-4.0840793,-4.862750248575705
1.9153736484620012,-4.0593953,-4.842303197748067
1.9279652021838043,-4.0344667,-4.821448892558868
1.9405567559056074,-4.0093975,-4.800181960914166
1.9531483096274105,-3.9842834,-4.778496995519894
1.9657398633492118,-3.95921,-4.756388553881856
1.978331417071015,-3.934247,-4.733851158305724
1.990922970792818,-3.9094512,-4.710879295897045
2.003514524514621,-3.8848653,-4.687467418561241
2.016106078236424,-3.8605132,-4.6636099430036015
2.0286976319582273,-3.8364065,-4.639301250729293
2.0412891856800286,-3.8125405,-4.614535688043353
2.0538807394018317,-3.7888973,-4.589307566050684
2.066472293123635,-3.7654493,-4.563611160656069
2.079063846845438,-3.7421556,-4.537440712564161
2.091655400567241,-3.7189698,-4.510790427279484
2.104246954289044,-3.695835,-4.483654475106435
2.1168385080108454,-3.672689,-4.456026991149287
2.1294300617326485,-3.6494656,-4.427902075312172
2.1420216154544516,-3.626092,-4.39927379229911
2.1546131691762547,-3.6024957,-4.370136171613983
2.1672047228980578,-3.5785985,-4.340483207560551
2.179796276619859,-3.5543203,-4.310308859242446
2.192387830341662,-3.5295832,-4.279607050563163
2.2049793840634653,-3.5043046,-4.24837167022608
2.2049793840634653,-3.5043042,-4.24837167022608
2.2175709377852684,-3.4784043,-4.216596571734441
2.2301624915070715,-3.4518023,-4.184275573391366
2.2427540452288746,-3.4244199,-4.151402458299845
2.2553455989506768,-3.3961806,-4.117970974362744
2.267937152672479,-3.367012,-4.0839748342827935
2.280528706394282,-3.3368459,-4.0494077155626
2.293120260116085,-3.3056204,-4.014263260504642
2.3057118138378883,-3.2732809,-3.9785350762112737
2.3183033675596914,-3.2397819,-3.9422167345847163
2.3308949212814936,-3.2050881,-3.9053017723270687
2.3434864750032958,-3.169176,-3.867783690940296
2.356078028725099,-3.1320348,-3.8296559567262345
