theta,V_unperturbed,V_perturbed_lora_poly
1.645216128468888,-0.53856456,-10.643303
1.657795078032811,-0.4053551,-10.498129
1.670374027596734,-0.27207935,-10.352388
1.682952977160657,-0.13874924,-10.206083
1.69553192672458,-0.0053783134,-10.059219
1.708110876288503,0.12802225,-9.911804
1.7206898258524261,0.26144135,-9.763844
1.7332687754163492,0.39486766,-9.615348
1.7458477249802722,0.52829117,-9.466325
1.7584266745441952,0.66170216,-9.316787
1.7710056241081182,0.7950915,-9.166746
1.7835845736720413,0.92845,-9.016217
1.7961635232359643,1.061769,-8.8652115
1.8087424727998882,1.1950411,-8.713747
1.8213214223638112,1.3282565,-8.56184
1.8339003719277343,1.4614078,-8.40951
1.8464793214916573,1.5944868,-8.256774
1.8590582710555803,1.7274854,-8.103652
1.8716372206195033,1.8603941,-7.9501686
1.8842161701834264,1.993206,-7.796342
1.8967951197473494,2.12591,-7.6421943
1.9093740693112724,2.258497,-7.487753
1.9219530188751954,2.3909552,-7.33304
1.9345319684391185,2.5232744,-7.1780787
1.9471109180030415,2.6554403,-7.022897
1.9596898675669654,2.7874393,-6.867516
1.9722688171308884,2.9192567,-6.7119656
1.9848477666948114,3.0508745,-6.5562696
1.9974267162587345,3.1822755,-6.4004545
2.0100056658226575,3.313439,-6.244546
2.0225846153865805,3.4443417,-6.0885706
2.0351635649505035,3.5749614,-5.9325542
2.0477425145144266,3.705271,-5.7765217
2.0603214640783496,3.8352432,-5.6204996
2.0729004136422726,3.964848,-5.464514
2.0854793632061956,4.094053,-5.308589
2.0980583127701187,4.2228246,-5.15275
2.1106372623340417,4.3511267,-4.9970217
2.1232162118979656,4.4789224,-4.8414307
2.1357951614618886,4.606171,-4.686
2.1483741110258117,4.7328334,-4.530756
2.1609530605897347,4.858866,-4.375723
2.1735320101536577,4.9842267,-4.220927
2.1861109597175807,5.108871,-4.0663924
2.1986899092815038,5.2327533,-3.9121468
2.211268858845427,5.3558292,-3.758215
2.22384780840935,5.4780517,-3.6046226
2.236426757973273,5.5993752,-3.4514017
2.249005707537196,5.7197537,-3.298578
2.261584657101119,5.8391423,-3.1461806
2.274163606665042,5.957496,-2.9942427
2.286742556228966,6.07477,-2.842792
2.299321505792889,6.1909204,-2.6918645
2.311900455356812,6.305907,-2.5414932
2.324479404920735,6.4196863,-2.391714
2.337058354484658,6.5322185,-2.2425632
2.349637304048581,6.643466,-2.094079
2.362216253612504,6.7533913,-1.9463013
2.374795203176427,6.8619576,-1.7992709
2.38737415274035,6.969132,-1.6530287
2.399953102304273,7.0748816,-1.5076189
2.412532051868196,7.179175,-1.3630843
2.425111001432119,7.281983,-1.2194699
2.437689950996042,7.3832784,-1.0768198
2.450268900559966,7.483035,-0.9351785
2.462847850123889,7.5812283,-0.7945934
2.475426799687812,7.677834,-0.6551061
2.488005749251735,7.7728333,-0.5167603
2.500584698815658,7.866204,-0.37959868
2.513163648379581,7.95793,-0.24365914
2.525742597943504,8.047992,-0.10898131
2.5383215475074272,8.136376,0.024403632
2.5509004970713502,8.223067,0.15646416
2.5634794466352733,8.308054,0.28717577
2.5760583961991963,8.391324,0.41651744
2.5886373457631193,8.472865,0.5444766
2.6012162953270423,8.5526705,0.67104447
2.6137952448909663,8.63073,0.7962223
2.6263741944548893,8.707036,0.9200202
2.6389531440188123,8.781583,1.0424559
2.6515320935827353,8.854364,1.1635585
2.6641110431466584,8.925376,1.283365
2.6766899927105814,8.994612,1.4019272
2.6892689422745044,9.062067,1.5193058
2.7018478918384274,9.127742,1.6355729
2.7144268414023505,9.19163,1.7508103
2.7270057909662735,9.253728,1.8651117
2.7395847405301965,9.314034,1.9785783
2.7521636900941195,9.372546,2.091314
2.7647426396580426,9.429261,2.203431
2.7773215892219665,9.484178,2.3150377
2.7899005387858895,9.537292,2.426238
2.8024794883498125,9.588599,2.5371163
2.8150584379137356,9.638103,2.6477492
2.8276373874776586,9.685795,2.7581775
2.8402163370415816,9.731674,2.868402
2.8527952866055046,9.775739,2.9783802
2.8653742361694277,9.817983,3.0880013
2.8779531857333507,9.858405,3.1970952
2.8905321352972737,9.896999,3.305395
2.9031110848611967,9.933764,3.4125543
2.9156900344251198,9.968696,3.518128
2.9282689839890437,10.00179,3.6215754
2.9408479335529667,10.033041,3.7222548
2.9534268831168897,10.062446,3.8194537
