theta,delta_V_true,delta_V_dvnet,delta_V_lora
0.5428942927854994,-1.080909761331673,-0.24493772,-0.24493772
0.5554858465073007,-1.0504200905651686,-0.22091371,-0.22091371
0.5680774002291038,-1.0134936989805372,-0.19272405,-0.19272405
0.5806689539509069,-0.9703681688660775,-0.16100389,-0.16100389
0.59326050767271,-0.9213209674122961,-0.12643224,-0.12643224
0.6058520613945131,-0.8666676615039011,-0.089665234,-0.089665234
0.6184436151163162,-0.8067598873805406,-0.05129987,-0.05129987
0.6310351688381175,-0.7419830882293906,-0.011835873,-0.011835873
0.6436267225599206,-0.6727540342657263,0.028356731,0.028356731
0.6562182762817237,-0.5995181412572878,0.06905097,0.06905097
0.6688098300035268,-0.5227466047447061,0.11015338,0.11015338
0.6814013837253299,-0.44293336839639463,0.15170306,0.15170306
0.693992937447133,-0.3605919460032818,0.19384784,0.19384784
0.7065844911689343,-0.2762521175605027,0.23680419,0.23680419
0.7191760448907374,-0.1904565206932106,0.2808296,0.2808296
0.7317675986125405,-0.10375715935725131,0.32619113,0.32619113
0.7443591523343436,-0.01671185227728201,0.37311953,0.37311953
0.7569507060561467,0.07011935602693911,0.4217946,0.4217946
0.769542259777948,0.15617779853490202,0.47231692,0.47231692
0.7821338134997511,0.24090978015699957,0.5246808,0.5246808
0.7947253672215542,0.3237701401769496,0.578788,0.578788
0.8073169209433573,0.4042257597846626,0.6344263,0.6344263
0.8199084746651604,0.4817589921321166,0.69129294,0.69129294
0.8325000283869635,0.5558709928435264,0.7490093,0.7490093
0.8450915821087648,0.6260849295514743,0.8071291,0.8071291
0.8576831358305679,0.6919490498090862,0.8651697,0.8651697
0.870274689552371,0.7530395876393413,0.9226276,0.9226276
0.8828662432741741,0.8089634900211331,0.9789979,0.9789979
0.8954577969959772,0.8593609457698836,1.0337851,1.0337851
0.9080493507177785,0.9039077005420882,1.086509,1.086509
0.9206409044395816,0.9423171430692139,1.1367071,1.1367071
0.9332324581613847,0.9743421491981435,1.1839373,1.1839373
0.9458240118831878,0.9997766718738509,1.2277715,1.2277715
0.9584155656049909,1.0184570668343416,1.2677968,1.2677968
0.971007119326794,1.0302631454884605,1.3036163,1.3036163
0.9835986730485953,1.035118948202405,1.3348572,1.3348572
0.9961902267703984,1.0329932330196574,1.3611782,1.3611782
1.0087817804922015,1.0238996766699402,1.3822801,1.3822801
1.0213733342140046,1.0078967865739246,1.3979223,1.3979223
1.0339648879358077,0.9850875244098357,1.407932,1.407932
1.0465564416576107,0.9556186436639121,1.4122097,1.4122097
1.059147995379412,0.9196797454268886,1.4107401,1.4107401
1.0717395491012152,0.877502058511415,1.4035904,1.4035904
1.0843311028230183,0.8293569517391537,1.3909104,1.3909104
1.0969226565448214,0.775554187969304,1.3729179,1.3729179
1.1095142102666244,0.7164399311021137,1.3498971,1.3498971
1.1221057639884258,0.6523945188801862,1.3221815,1.3221815
1.1346973177102289,0.5838300158171883,1.290149,1.290149
1.147288871432032,0.5111875619984304,1.2542012,1.2542012
