theta,delta_V_learned,delta_V_true
-2.315388402063732,-4.4698253,-3.95067732609359
-2.302796848341929,-4.5159183,-3.9868584716692927
-2.290205294620126,-4.5611815,-4.02245095115827
-2.277613740898323,-4.6055923,-4.057461184509408
-2.2650221871765206,-4.6491275,-4.091895556471468
-2.2524306334547175,-4.6917644,-4.125760416593088
-2.2398390797329153,-4.7334723,-4.1590620792227675
-2.227247526011112,-4.7742314,-4.191806823508889
-2.214655972289309,-4.814014,-4.224000893399701
-2.202064418567507,-4.852796,-4.255650497643321
-2.189472864845704,-4.890554,-4.286761809787749
-2.1768813111239016,-4.927263,-4.317340968180847
-2.1642897574020985,-4.9628997,-4.347394075970357
-2.1516982036802954,-4.9974465,-4.376927201103886
-2.1391066499584923,-5.030885,-4.405946376328918
-2.12651509623669,-5.063194,-4.434457599192807
-2.113923542514887,-5.094362,-4.462466832042781
-2.101331988793085,-5.124374,-4.489980002025938
-2.0887404350712817,-5.1532226,-4.51700300108925
-2.0761488813494786,-5.1808963,-4.5435416859795605
-2.0635573276276755,-5.2073913,-4.569601878243585
-2.0509657739058733,-5.2327027,-4.595189364227909
-2.038374220184071,-5.2568336,-4.620309895078993
-2.025782666462268,-5.2797847,-4.644969186743172
-2.013191112740465,-5.301561,-4.669172919966647
-2.000599559018662,-5.3221736,-4.692926740295496
-1.9880080052968596,-5.3416276,-4.716236258075665
-1.9754164515750565,-5.359943,-4.739107048452977
-1.9628248978532543,-5.377132,-4.761544651373122
-1.9502333441314512,-5.3932166,-4.783554571581669
-1.9376417904096481,-5.408217,-4.805142278624052
-1.925050236687845,-5.4221597,-4.82631320684558
-1.9124586829660428,-5.4350677,-4.847072755391434
-1.8998671292442406,-5.4469724,-4.8674262882066675
-1.8872755755224375,-5.4579062,-4.887379134036208
-1.8746840218006344,-5.4679008,-4.906936586424853
-1.8620924680788313,-5.476993,-4.92610390371727
-1.8495009143570291,-5.4852195,-4.944886309058003
-1.836909360635226,-5.492619,-4.963288990391465
-1.8243178069134238,-5.4992347,-4.9813171004619425
-1.8117262531916207,-5.5051036,-4.998975756813595
-1.7991346994698176,-5.5102725,-5.016270041790452
-1.7865431457480145,-5.514787,-5.033205002536418
-1.7739515920262123,-5.5186915,-5.049785650995265
-1.7613600383044101,-5.5220323,-5.0660169639106405
-1.748768484582607,-5.524856,-5.081903882826067
-1.736176930860804,-5.5272098,-5.097451314084933
-1.7235853771390008,-5.529139,-5.112664128830502
-1.7109938234171977,-5.5306935,-5.127547163005912
-1.6984022696953955,-5.531919,-5.142105217354167
-1.6858107159735933,-5.532866,-5.156343057418148
-1.6732191622517902,-5.5335755,-5.17026541354061
-1.6606276085299871,-5.5340953,-5.183876980864176
-1.648036054808184,-5.53447,-5.197182419331341
-1.6354445010863818,-5.534741,-5.210186353684474
-1.6228529473645787,-5.5349507,-5.222893373465816
-1.6102613936427765,-5.5351415,-5.235308033017479
-1.5976698399209734,-5.5353494,-5.24743485148145
-1.5850782861991703,-5.535609,-5.259278312799585
-1.5724867324773673,-5.535958,-5.270842865713613
-1.559895178755565,-5.536423,-5.282132923765134
-1.5473036250337628,-5.5370393,-5.293152865295625
-1.5347120713119597,-5.53783,-5.303907033446429
-1.5221205175901567,-5.53882,-5.314399736158766
-1.5095289638683536,-5.54003,-5.324635246173724
-1.4969374101465514,-5.5414767,-5.334617801032265
-1.4843458564247483,-5.543177,-5.344351603075226
-1.471754302702946,-5.5451436,-5.3538408194433105
-1.459162748981143,-5.547382,-5.363089582077099
-1.4465711952593399,-5.5499034,-5.372101987717042
-1.4339796415375368,-5.552709,-5.380882097903462
-1.4213880878157354,-5.555798,-5.389433938976553
-1.4087965340939324,-5.559171,-5.397761502076385
-1.3962049803721293,-5.562823,-5.405868743142895
-1.3836134266503262,-5.566748,-5.413759582915896
-1.371021872928523,-5.5709376,-5.42143790693507
-1.35843031920672,-5.575379,-5.4289075655399746
-1.3458387654849169,-5.5800624,-5.436172373870037
-1.3332472117631156,-5.584974,-5.443236111864556
-1.3206556580413125,-5.590099,-5.4501025242627055
-1.3080641043195094,-5.595424,-5.45677532060353
-1.2954725505977063,-5.6009345,-5.4632581752259455
-1.2828809968759032,-5.60661,-5.469554727268741
-1.2702894431541019,-5.612436,-5.475668580670576
-1.2576978894322988,-5.6183963,-5.481603304169986
-1.2451063357104957,-5.624475,-5.487362431305374
-1.2325147819886926,-5.630655,-5.492949460415018
-1.2199232282668895,-5.6369185,-5.498367854637068
-1.2073316745450882,-5.643251,-5.503621041909544
-1.194740120823285,-5.649631,-5.508712414970343
-1.182148567101482,-5.6560435,-5.513645331357227
-1.1695570133796789,-5.6624713,-5.518423113407836
-1.1569654596578758,-5.6688914,-5.523049048259681
