theta,V_unperturbed
4.940900914216739,-3.7180343
4.953479863780661,-3.840425
4.966058813344585,-3.9620814
4.978637762908507,-4.0829988
4.991216712472431,-4.203165
5.003795662036353,-4.3225756
5.016374611600277,-4.4412227
5.028953561164199,-4.559102
5.041532510728123,-4.6762085
5.054111460292045,-4.792538
5.066690409855969,-4.9080877
5.079269359419891,-5.0228558
5.091848308983815,-5.136839
5.104427258547739,-5.2500367
5.117006208111661,-5.3624473
5.129585157675585,-5.47407
5.142164107239507,-5.5849037
5.154743056803431,-5.6949487
5.167322006367353,-5.8042035
5.179900955931277,-5.9126654
5.192479905495199,-6.0203385
5.205058855059123,-6.1272197
5.217637804623045,-6.2333074
5.230216754186969,-6.3385987
5.242795703750891,-6.443092
5.255374653314815,-6.546785
5.267953602878739,-6.649675
5.280532552442661,-6.7517543
5.293111502006585,-6.853021
5.3056904515705074,-6.953468
5.318269401134431,-7.0530887
5.3308483506983535,-7.151874
5.343427300262277,-7.2498174
5.3560062498261996,-7.3469086
5.3685851993901235,-7.4431357
5.381164148954046,-7.538487
5.3937430985179695,-7.632952
5.406322048081892,-7.7265167
5.418900997645816,-7.8191657
5.4314799472097395,-7.9108834
5.444058896773662,-8.001655
5.4566378463375855,-8.091462
5.469216795901508,-8.180287
5.481795745465432,-8.268113
5.494374695029354,-8.35492
5.506953644593278,-8.44069
5.5195325941572,-8.525402
5.532111543721124,-8.609036
5.544690493285046,-8.691574
5.55726944284897,-8.772994
5.569848392412892,-8.853276
5.582427341976816,-8.932401
5.59500629154074,-9.01035
5.607585241104662,-9.087105
5.620164190668586,-9.162643
5.632743140232508,-9.23695
5.645322089796432,-9.310006
5.657901039360354,-9.381795
5.670479988924278,-9.4523
5.6830589384882,-9.521507
5.695637888052124,-9.5894
5.708216837616046,-9.655965
5.72079578717997,-9.72119
5.733374736743892,-9.785063
5.745953686307816,-9.847571
5.75853263587174,-9.908705
5.771111585435662,-9.968454
5.783690534999586,-10.026811
